Domain,Area,Element,Item,Year,Value
"Food Balances (2010-)","Eastern Africa","Food supply quantity (kg/capita/yr)","Wine","2018","0.08"
"Food Balances (2010-)","Eastern Africa","Food supply quantity (kg/capita/yr)","Wine","2019","0.07"
"Food Balances (2010-)","Eastern Africa","Food supply quantity (kg/capita/yr)","Wine","2020","0.09"
"Food Balances (2010-)","Eastern Africa","Food supply quantity (kg/capita/yr)","Wine","2021","0.11"
"Food Balances (2010-)","Eastern Africa","Food supply quantity (kg/capita/yr)","Wine","2022","0.11"
"Food Balances (2010-)","Middle Africa","Food supply quantity (kg/capita/yr)","Wine","2018","0.34"
"Food Balances (2010-)","Middle Africa","Food supply quantity (kg/capita/yr)","Wine","2019","0.34"
"Food Balances (2010-)","Middle Africa","Food supply quantity (kg/capita/yr)","Wine","2020","0.28"
"Food Balances (2010-)","Middle Africa","Food supply quantity (kg/capita/yr)","Wine","2021","0.61"
"Food Balances (2010-)","Middle Africa","Food supply quantity (kg/capita/yr)","Wine","2022","0.39"
"Food Balances (2010-)","Northern Africa","Food supply quantity (kg/capita/yr)","Wine","2018","0.36"
"Food Balances (2010-)","Northern Africa","Food supply quantity (kg/capita/yr)","Wine","2019","0.35"
"Food Balances (2010-)","Northern Africa","Food supply quantity (kg/capita/yr)","Wine","2020","0.33"
"Food Balances (2010-)","Northern Africa","Food supply quantity (kg/capita/yr)","Wine","2021","0.35"
"Food Balances (2010-)","Northern Africa","Food supply quantity (kg/capita/yr)","Wine","2022","0.38"
"Food Balances (2010-)","Southern Africa","Food supply quantity (kg/capita/yr)","Wine","2018","2.66"
"Food Balances (2010-)","Southern Africa","Food supply quantity (kg/capita/yr)","Wine","2019","4"
"Food Balances (2010-)","Southern Africa","Food supply quantity (kg/capita/yr)","Wine","2020","4.24"
"Food Balances (2010-)","Southern Africa","Food supply quantity (kg/capita/yr)","Wine","2021","3.35"
"Food Balances (2010-)","Southern Africa","Food supply quantity (kg/capita/yr)","Wine","2022","3.4"
"Food Balances (2010-)","Western Africa","Food supply quantity (kg/capita/yr)","Wine","2018","0.28"
"Food Balances (2010-)","Western Africa","Food supply quantity (kg/capita/yr)","Wine","2019","0.31"
"Food Balances (2010-)","Western Africa","Food supply quantity (kg/capita/yr)","Wine","2020","0.3"
"Food Balances (2010-)","Western Africa","Food supply quantity (kg/capita/yr)","Wine","2021","0.38"
"Food Balances (2010-)","Western Africa","Food supply quantity (kg/capita/yr)","Wine","2022","0.38"
"Food Balances (2010-)","Northern America","Food supply quantity (kg/capita/yr)","Wine","2018","9.33"
